jud_code,nume,id_partid,partid,abv_partid,jud_name,jud_lbl
AB,DUMITREL ION,15,PARTIDUL DEMOCRAT LIBERAL,PDL,JUDEȚUL ALBA,ALBA
AG,NICOLESCU CONSTANTIN,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL ARGEȘ,ARGEȘ
AR,IOȚCU PETRU-NICOLAE,16,MIȘCAREA CREȘTIN-LIBERALĂ,MC-L,JUDEȚUL ARAD,ARAD
BC,BENEA DRAGOȘ ADRIAN,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL BACĂU,BACĂU
BH,POPA CORNEL,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL BIHOR,BIHOR
BN,MOLDOVAN EMIL RADU,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL BISTRIȚA-NĂSĂUD,BISTRIȚA-NĂSĂUD
BR,GHEORGHE-BUNEA STANCU,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL BRĂILA,BRĂILA
BT,ȚURCANU FLORIN,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL BOTOȘANI,BOTOȘANI
BV,CĂNCESCU ARISTOTEL ADRIAN,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL BRAȘOV,BRAȘOV
BZ,BÎGIU MARIAN CRISTINEL,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL BUZĂU,BUZĂU
CJ,UIOREANU HOREA-DORIN,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL CLUJ,CLUJ
CL,FILIPESCU RĂDUCU-GEORGE,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL CĂLĂRAȘI,CĂLĂRAȘI
CS,FRUNZĂVERDE SORIN,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL CARAȘ-SEVERIN,CARAȘ-SEVERIN
CT,CONSTANTINESCU NICUȘOR-DANIEL,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL CONSTANȚA,CONSTANȚA
CV,TAMÁS SÁNDOR,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UDMR,JUDEȚUL COVASNA,COVASNA
DB,ȚUȚUIANU ADRIAN,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL DÂMBOVIȚA,DÂMBOVIȚA
DJ,PRIOTEASA ION,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL DOLJ,DOLJ
GJ,CĂLINOIU I. ION,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL GORJ,GORJ
GL,DOBROVICI-BACALBAȘA NICOLAE,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL GALAȚI,GALAȚI
GR,MUSTĂȚEA VASILE,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL GIURGIU,GIURGIU
HD,MOLOȚ MIRCEA-IOAN,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL HUNEDOARA,HUNEDOARA
HR,BORBOLY CSABA,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UDMR,JUDEȚUL HARGHITA,HARGHITA
IF,PETRACHE MARIAN,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL ILFOV,ILFOV
IL,CIUPERCĂ VASILE SILVIAN,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL IALOMIȚA,IALOMIȚA
IS,ADOMNIȚEI CRISTIAN MIHAI,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL IAȘI,IAȘI
MH,DUICU IOAN-ADRIAN,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL MEHEDINȚI,MEHEDINȚI
MM,CICEU ZAMFIR-FLORE,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL MARAMUREȘ,MARAMUREȘ
MS,DOBRE CIPRIAN MINODOR,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL MUREȘ,MUREȘ
NT,TĂRÂȚĂ CULIȚĂ,27,ALIANȚA ELECTORALĂ POPULARĂ PROGRESISTĂ EUROPEANĂ LIBERALĂ,A.P.E.L.,JUDEȚUL NEAMȚ,NEAMȚ
OT,STĂNESCU PAUL,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL OLT,OLT
PH,COSMA MIRCEA,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL PRAHOVA,PRAHOVA
SB,CINDREA IOAN,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL SIBIU,SIBIU
SJ,MARC TIBERIU,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL SĂLAJ,SĂLAJ
SM,ȘTEF MIHAI ADRIAN,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL SATU MARE,SATU MARE
SV,NECHIFOR CĂTĂLIN IOAN,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL SUCEAVA,SUCEAVA
TL,TEODORESCU HORIA,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL TULCEA,TULCEA
TM,BOJIN TITU,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL TIMIȘ,TIMIȘ
TR,DRAGNEA NICOLAE LIVIU,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL TELEORMAN,TELEORMAN
VL,CÎLEA ION,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL VÂLCEA,VÂLCEA
VN,OPRIȘAN MARIAN,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL VRANCEA,VRANCEA
VS,BUZATU DUMITRU,62,UNIUNEA SOCIAL LIBERALĂ,USL,JUDEȚUL VASLUI,VASLUI
B,SORIN OPRESCU,999,CANDIDAT INDEPENDENT,CI,MUNICIPIUL BUCUREȘTI
